Region,State,County,RC Code,RC Name,Secession,Unity,Unmarked,Invalid
South,Upper Nile,Renk,101001,Labour Center,363,2,1,0
South,Upper Nile,Renk,101002,Payuer,1568,17,2,3
South,Upper Nile,Renk,101003,Ayubek Center,192,5,5,3
South,Upper Nile,Renk,101004,Wunenyok,145,3,2,2
South,Upper Nile,Renk,101005,Donkem Center,469,4,1,1
South,Upper Nile,Renk,101006,Shumodi Buomditi,947,11,0,0
South,Upper Nile,Renk,101007,Mad Akon,1065,100,17,12
South,Upper Nile,Renk,101008,Gol Angiy,1699,85,10,7
South,Upper Nile,Renk,101009,Youpbiech tow,1641,193,4,10
South,Upper Nile,Renk,101010,Police Resades Center,1593,81,8,16
South,Upper Nile,Renk,101011,Anombol,221,2,0,2
South,Upper Nile,Renk,101012,Jelehak I,1040,12,2,11
South,Upper Nile,Renk,101013,Jelehak II,639,3,4,2
South,Upper Nile,Renk,101014,Molbok,2297,6,1,13
South,Upper Nile,Renk,101015,Banyjang,241,1,0,0
South,Upper Nile,Renk,101016,Majak,315,4,4,2
South,Upper Nile,Renk,101017,Doklay,256,0,2,0
South,Upper Nile,Renk,101018,Nockur,3268,3,1,1
South,Upper Nile,Renk,101019,Wangayang,1228,17,7,7
South,Upper Nile,Renk,101020,Chum Aliny,1257,0,0,0
South,Upper Nile,Renk,101021,Raootha Abnarek,2374,50,21,2
South,Upper Nile,Renk,101022,Komboni,1825,23,11,2
South,Upper Nile,Renk,101023,Police Resident,2784,20,5,3
South,Upper Nile,Renk,101024,Gol Center,1790,34,5,5
South,Upper Nile,Renk,101025,Wunkiir,2325,33,12,2
South,Upper Nile,Renk,101026,Kolongok,966,5,6,4
South,Upper Nile,Renk,101027,El gerger,1578,54,9,17
South,Upper Nile,Renk,101028,Yenti,958,3,1,4
South,Upper Nile,Renk,101029,Wunecholbol,875,44,0,0
South,Upper Nile,Renk,101030,Pamim,1069,5,1,4
South,Upper Nile,Renk,101031,Yinditkor,1033,4,1,1
South,Upper Nile,Renk,101032,Wunthow,1060,91,0,18
South,Upper Nile,Manyo,102001,Athidwoi Basic School,572,6,3,2
South,Upper Nile,Manyo,102002,Nyileac Basic School,381,0,0,0
South,Upper Nile,Manyo,102003,Delal Jak Basic School,605,1,0,2
South,Upper Nile,Manyo,102004,Akorwa,120,0,0,0
South,Upper Nile,Manyo,102005,Basic,814,3,0,8
South,Upper Nile,Manyo,102006,Education Office Kaka,1278,2,0,2
South,Upper Nile,Manyo,102007,Sido School Kaka,573,6,5,1
South,Upper Nile,Manyo,102008,Chief's Compound - Kaka Adur,394,2,1,7
South,Upper Nile,Manyo,102009,Thurguang Basic School,1207,0,0,0
South,Upper Nile,Manyo,102010,Ayat Basic School,302,0,0,0
South,Upper Nile,Manyo,102011,Wad Kona,1789,7,0,19
South,Upper Nile,Manyo,102012,Forth Class Area Basic School,1669,16,4,4
South,Upper Nile,Manyo,102013,Fayin,420,0,0,1
South,Upper Nile,Manyo,102014,Omar Basic School,671,3,3,1
South,Upper Nile,Manyo,102015,Kwek Basic School,389,27,1,0
South,Upper Nile,Manyo,102016,Kid Gwang Basic School,1030,4,0,6
South,Upper Nile,Fashoda,103001,Detuk Basic School,992,5,0,2
South,Upper Nile,Fashoda,103002,Atar Basic School,480,0,0,0
South,Upper Nile,Fashoda,103003,Kalagang - Chief's Space,859,1,0,0
South,Upper Nile,Fashoda,103004,Achak Basic School,909,11,0,1
South,Upper Nile,Fashoda,103005,Bol Basic School,848,0,0,0
South,Upper Nile,Fashoda,103006,Lul Basic School,1182,3,0,2
South,Upper Nile,Fashoda,103007,Nyiger Basic School,1834,2,2,2
South,Upper Nile,Fashoda,103008,Ausgofia Basic School,3198,8,12,1
South,Upper Nile,Melut,104001,New Sudan Basic school,3386,10,5,0
South,Upper Nile,Melut,104002,Mulut Secondary School,2454,7,7,0
South,Upper Nile,Melut,104003,Paluj Basic School,3569,2,0,1
South,Upper Nile,Melut,104004,Galdora Basic school,1277,0,0,0
South,Upper Nile,Melut,104005,New Paloch Basic School,827,0,0,0
South,Upper Nile,Melut,104006,Thiangrial Basic school,455,0,0,0
South,Upper Nile,Melut,104007,Athieng Basic School,733,0,0,1
South,Upper Nile,Melut,104008,Panomdit Basic School,758,0,0,0
South,Upper Nile,Melut,104009,Pariak Basic School,734,1,0,0
South,Upper Nile,Maban,105001,Buny Basic School,2899,49,10,2
South,Upper Nile,Maban,105002,Banaskoum Basic School,1256,6,0,3
South,Upper Nile,Maban,105003,Gasmalla Basic School,2293,0,0,0
South,Upper Nile,Maban,105004,Liaka Training Center,1493,0,0,2
South,Upper Nile,Maban,105005,Dangaj Basic School,1303,1,0,0
South,Upper Nile,Maban,105006,Liang Basic School,1980,0,0,0
South,Upper Nile,Maban,105007,Zinc Health Center,1670,0,0,0
South,Upper Nile,Maban,105008,Nila Health Center,1351,1,0,2
South,Upper Nile,Maban,105009,New Guffa Health Center,2981,10,0,4
South,Upper Nile,Maban,105010,Pyenkaji Basic School,535,0,0,0
South,Upper Nile,Maban,105011,Jamam Basic School,2680,5,0,6
South,Upper Nile,Maban,105012,Zurura Chief Compound,1413,10,24,16
South,Upper Nile,Maiwut,106001,Maiwut Town Centre,1684,0,0,0
South,Upper Nile,Maiwut,106002,Riangrap Chief's Compound,864,0,0,0
South,Upper Nile,Maiwut,106003,Uleng Payam Compound,2000,0,0,0
South,Upper Nile,Maiwut,106004,Tuel Church (Uleng Two),1960,0,0,0
South,Upper Nile,Maiwut,106005,Key Centre,2000,0,0,0
South,Upper Nile,Maiwut,106006,Jotoma Payam Compound,1998,0,0,0
South,Upper Nile,Maiwut,106007,Kuey Wech Tuor (Jotome Two),1997,0,0,0
South,Upper Nile,Maiwut,106008,Kigle Payam Compound,626,0,0,0
South,Upper Nile,Maiwut,106009,Nguerkey Church (Wankey),255,0,0,0
South,Upper Nile,Maiwut,106010,Palang Church Compound,695,0,0,0
South,Upper Nile,Maiwut,106011,Wech Gatluak Riek,2012,0,0,0
South,Upper Nile,Maiwut,106012,Palang Church Compound,1852,0,0,0
South,Upper Nile,Maiwut,106013,Gacjal Chegkot (Maleck Two),1598,0,0,0
South,Upper Nile,Maiwut,106014,Machar Chief's Compound,1984,0,0,2
South,Upper Nile,Maiwut,106015,Kurek Chief's Compound,2000,0,0,0
South,Upper Nile,Maiwut,106016,Pagak Payam Compound,1995,0,0,0
South,Upper Nile,Maiwut,106017,Lerping Basic School (Jikow Church),2000,0,0,0
South,Upper Nile,Maiwut,106018,Jikow Church,1999,0,0,0
South,Upper Nile,Maiwut,106019,Juur Chief's Compound (Orieng),1997,0,0,0
South,Upper Nile,Maiwut,106020,DengJuur Chief's Compound,2000,0,0,0
South,Upper Nile,Maiwut,106021,Turuw Payam Compound,2000,0,0,0
South,Upper Nile,Maiwut,106022,Lol Nyang Basic School,1994,0,0,0
South,Upper Nile,Maiwut,106023,Nyopman Koat Chief's Compound (Njang),1994,0,0,0
South,Upper Nile,Maiwut,106024,Biyien Chief's Compound,2000,0,0,0
South,Upper Nile,Maiwut,106025,Jeruselem Church (Kuey Centre Two),2200,0,0,0
South,Upper Nile,Maiwut,106026,Pinydit Centre,1471,0,0,0
South,Upper Nile,Maiwut,106027,Nyang Chief's Compound,1983,0,0,0
South,Upper Nile,Maiwut,106028,Bura Kuey Chief's Compound,1999,0,0,0
South,Upper Nile,Maiwut,106029,Wichdouk,2000,0,0,0
South,Upper Nile,Maiwut,106030,Jizira Church (Miding),1998,0,0,0
South,Upper Nile,Maiwut,106031,Piluai Chief's Compound,2199,0,0,0
South,Upper Nile,Maiwut,106032,Punythor Basic School,2196,0,0,0
South,Upper Nile,Nasir,107001,Presbyterian Church Basic School,4567,6,2,0
South,Upper Nile,Nasir,107002,Guen Basic School,2180,0,0,0
South,Upper Nile,Nasir,107003,Dhuorahinr Basic School,726,1,0,0
South,Upper Nile,Nasir,107004,Wunkier Basic School,4800,5,0,0
South,Upper Nile,Nasir,107005,Nor-Deng Basic School,1052,0,0,0
South,Upper Nile,Nasir,107006,Paduey Health Center,612,0,0,0
South,Upper Nile,Nasir,107007,Dingkar Basic School,1166,0,0,0
South,Upper Nile,Nasir,107008,Mear One Basic School,633,0,0,0
South,Upper Nile,Nasir,107009,Koat One Basic School,1732,0,0,0
South,Upper Nile,Nasir,107010,Kiech Kuon Basic School,674,0,0,0
South,Upper Nile,Nasir,107011,Dhek-Deek One Church Compound,836,0,0,0
South,Upper Nile,Nasir,107012,Lony-Lok Health Center,525,0,0,0
South,Upper Nile,Nasir,107013,Dichin Chief's Compound,286,0,0,0
South,Upper Nile,Nasir,107014,Roam Basic School,756,0,0,0
South,Upper Nile,Nasir,107015,Gai-Reang One Basic School,496,0,0,2
South,Upper Nile,Nasir,107016,Weath One Chief's Compound,772,0,0,1
South,Upper Nile,Nasir,107017,Pior-Jack Chief's Compound,335,0,0,0
South,Upper Nile,Nasir,107018,Ngueny Chie Yiech Presbyterian Church,780,0,0,0
South,Upper Nile,Nasir,107019,Kuak-Piny Basic School,269,0,0,0
South,Upper Nile,Nasir,107020,Kiech Kuon Three Church Compound,834,0,0,0
South,Upper Nile,Nasir,107021,Guem Nom Chief's Compound,426,0,0,0
South,Upper Nile,Nasir,107022,Nyekime Presbyterian Church Compound,1027,0,0,0
South,Upper Nile,Nasir,107023,Tuel Presbyterian Church Compound,493,0,0,0
South,Upper Nile,Nasir,107024,Jikmir Basic School,951,0,0,0
South,Upper Nile,Nasir,107025,Wech Kuach Basic School,719,0,0,0
South,Upper Nile,Nasir,107026,Torpuot Basic School,1052,0,0,0
South,Upper Nile,Nasir,107027,Kier Wan Basic School,946,0,0,0
South,Upper Nile,Nasir,107028,Thang Kol Church Compound,274,0,0,0
South,Upper Nile,Nasir,107029,Madeng Basic School,1809,0,2,5
South,Upper Nile,Nasir,107030,Kuereng-Ke Basic School,1913,0,0,3
South,Upper Nile,Nasir,107031,Kopuot Basic School,495,0,0,0
South,Upper Nile,Nasir,107032,Malek Presbyterian Church Compound,782,0,0,0
South,Upper Nile,Nasir,107033,Nyariew Presbyterian Church Compound,944,0,0,0
South,Upper Nile,Nasir,107034,Mading Health Centre,710,0,0,0
South,Upper Nile,Nasir,107035,Mabor Basic School,811,0,0,0
South,Upper Nile,Nasir,107036,Chot Chuor Church Compound,682,0,0,0
South,Upper Nile,Nasir,107037,Bil-Jalok Basic School,418,0,1,1
South,Upper Nile,Nasir,107038,Wangnyang Buma Compound,1146,0,0,0
South,Upper Nile,Nasir,107039,Maker Basic School,781,0,0,0
South,Upper Nile,Nasir,107040,Gur-Nyang Basic School,910,0,0,0
South,Upper Nile,Nasir,107041,Bet-Kueth Church Compound,500,0,0,0
South,Upper Nile,Nasir,107042,Cham-Thong Tak Church Compound,1218,0,0,0
South,Upper Nile,Nasir,107043,Wech-Nyot Presbyterian Church Compound,996,0,0,0
South,Upper Nile,Nasir,107044,Dhat Chief's Compound,278,0,0,0
South,Upper Nile,Nasir,107045,Kuer-Tuet-Ke Presbyterian Church Compound,792,0,0,0
South,Upper Nile,Nasir,107046,Wanduay Chief's Compound,1032,0,0,0
South,Upper Nile,Longechuk,108001,Malual Basic School,2132,0,0,0
South,Upper Nile,Longechuk,108002,Boriak Chief's Compound,1338,0,0,0
South,Upper Nile,Longechuk,108003,Malow Basic School,2400,0,0,0
South,Upper Nile,Longechuk,108004,Dajo Hospital,1997,1,0,2
South,Upper Nile,Longechuk,108005,Pachim chief Compound,1728,0,0,0
South,Upper Nile,Longechuk,108006,Mayase Basic school,1584,0,0,0
South,Upper Nile,Longechuk,108007,Jangook PHCU Compound,1997,0,0,1
South,Upper Nile,Longechuk,108008,Wunkir Chief Compound,1997,0,0,0
South,Upper Nile,Longechuk,108009,Banyjiel church,1989,0,0,0
South,Upper Nile,Longechuk,108010,Guelguk Basic School,1823,0,0,0
South,Upper Nile,Longechuk,108011,Mangok Chief Compound,1985,0,0,0
South,Upper Nile,Longechuk,108012,Chotbora PHCU Compound,2398,0,0,0
South,Upper Nile,Longechuk,108013,Udier Basic School,2194,0,0,0
South,Upper Nile,Longechuk,108014,Gier Chief Compound,2200,0,0,0
South,Upper Nile,Longechuk,108015,Gambella Chief Compound,1785,0,0,0
South,Upper Nile,Longechuk,108016,Pamach Longechuk,2797,0,0,0
South,Upper Nile,Longechuk,108017,Bel-wang Basic School,2194,0,0,0
South,Upper Nile,Longechuk,108018,Mabor Chief Compound,1795,0,0,0
South,Upper Nile,Longechuk,108019,Mathiang Health Center,2394,0,0,0
South,Upper Nile,Longechuk,108020,Pechweng Chief Compound,1999,0,0,0
South,Upper Nile,Ulang,109001,Ulang Basic School,1351,0,0,0
South,Upper Nile,Ulang,109002,Barmach Payam Basic School,602,0,0,0
South,Upper Nile,Ulang,109003,Ying,1008,0,0,0
South,Upper Nile,Ulang,109004,Waga Payam Basic School,408,0,0,0
South,Upper Nile,Ulang,109005,Doma Basic School,709,0,0,0
South,Upper Nile,Ulang,109006,Lony Boma,200,0,0,0
South,Upper Nile,Ulang,109007,Wechdeng Centre,1276,0,0,0
South,Upper Nile,Ulang,109008,Parial,798,0,0,0
South,Upper Nile,Ulang,109009,Yomding Basic School Center,1200,0,0,0
South,Upper Nile,Ulang,109010,Ker Chaat,902,0,0,0
South,Upper Nile,Ulang,109011,Bimbim,640,0,0,0
South,Upper Nile,Ulang,109012,Thorwang Basic School,1580,0,0,0
South,Upper Nile,Ulang,109013,Porbor Basic School,503,0,0,0
South,Upper Nile,Ulang,109014,Karmut Basic School,917,0,0,0
South,Upper Nile,Ulang,109015,Church Compound Toaloary,383,0,0,0
South,Upper Nile,Ulang,109016,Makak Church Compound,262,0,0,0
South,Upper Nile,Ulang,109017,Wechtut Basic School,592,0,0,0
South,Upper Nile,Baliet,110001,Gelachol Basic School,702,0,0,0
South,Upper Nile,Baliet,110002,Abwong Basic School,1213,0,0,0
South,Upper Nile,Baliet,110003,Wunbut's Chief Compound,437,0,0,0
South,Upper Nile,Baliet,110004,Adong Basic School,2233,0,0,0
South,Upper Nile,Baliet,110005,Wunarial Chief's Compound,339,0,0,0
South,Upper Nile,Baliet,110006,Baliet School,2115,0,0,0
South,Upper Nile,Baliet,110007,Dut Chief's Compound,349,0,0,0
South,Upper Nile,Baliet,110008,Riangnom Basic School,617,0,0,0
South,Upper Nile,Baliet,110009,Kokpiot Basic School,1404,0,0,0
South,Upper Nile,Baliet,110010,Pateny Center,366,0,0,0
South,Upper Nile,Malakal,111001,Shwon Eldinea Basic School,2336,10,12,3
South,Upper Nile,Malakal,111002,Teacher Training Institute Muderia,2259,10,9,10
South,Upper Nile,Malakal,111003,Sudan Council of Churches,4986,41,28,24
South,Upper Nile,Malakal,111004,Shaab Girl's Basic School,2470,20,5,32
South,Upper Nile,Malakal,111005,Leilo-Owjak-Owe,1561,8,0,2
South,Upper Nile,Malakal,111006,Thwoar Bander Boys Basic School,3497,48,23,1
South,Upper Nile,Malakal,111007,Hai Elsalam Basic School,2599,10,0,4
South,Upper Nile,Malakal,111008,Lukat Boys Basic School,1823,23,3,3
South,Upper Nile,Malakal,111009,Lukat Catholic Church I,1943,14,2,2
South,Upper Nile,Malakal,111010,Shown El Dinia,2799,41,15,8
South,Upper Nile,Malakal,111011,Assosa Girls Secondary School,2087,7,6,5
South,Upper Nile,Malakal,111012,PSC (A),4262,7,1,11
South,Upper Nile,Malakal,111013,Dar El Sala Basic School,2371,18,1,5
South,Upper Nile,Malakal,111014,Catholic Church Centre,2664,16,7,4
South,Upper Nile,Malakal,111015,War Child Centre,2900,26,6,7
South,Upper Nile,Malakal,111016,Hai Tanmia Social Club,2359,4,0,2
South,Upper Nile,Malakal,111017,East Police Station,2790,54,4,6
